timestamp,status_p1,spread_p1,speed_p1,dprofit_p1,cumprofit_p1,status_p2,spread_p2,speed_p2,dprofit_p2,cumprofit_p2,status_p3,spread_p3,speed_p3,dprofit_p3,cumprofit_p3,status_p4,spread_p4,speed_p4,dprofit_p4,cumprofit_p4,num_transactions,eq_price,buy_orders_before,buy_orders_after,sell_orders_before,sell_orders_after,porder,dvalue,cumvalue,investor_buy_sell
0,OUT,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,100,100,NA
488000000,OUT,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,100,NA
690000000,OUT,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,100,NA
711000000,MAKER,1,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,100,NA
728000000,MAKER,1,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,100,NA
4502000000,MAKER,1,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,1 3 2 4,-0.4380429027000048,99.5619570973,NA
4503000000,MAKER,1,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,99.5619570973,NA
4504000000,MAKER,1,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,99.5619570973,NA
4506000000,MAKER,1,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,99.5619570973,NA
5870000000,MAKER,1,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,99.5619570973,BUY
6410000000,MAKER,1,NO,0,30,SNIPE,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,99.5619570973,NA
6999000000,MAKER,1,NO,0,30,SNIPE,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,99.5619570973,SELL
7829000000,MAKER,1,NO,0,30,SNIPE,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,99.5619570973,BUY
9008000000,MAKER,1,NO,0,30,SNIPE,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,99.5619570973,SELL
9769000000,MAKER,1,NO,0,30,SNIPE,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,99.5619570973,SELL
10942000000,MAKER,1,NO,0,30,SNIPE,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,3 4 2 1,-0.8574645398999934,98.7044925574,NA
10943000000,MAKER,1,NO,0,30,SNIPE,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,98.7044925574,NA
10949000000,MAKER,1,NO,0,30,SNIPE,NA,NO,0,30,OUT,NA,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,98.7044925574,NA
12355000000,MAKER,1,NO,0,30,SNIPE,NA,NO,0,30,MAKER,1,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,98.7044925574,NA
14959000000,MAKER,1,NO,0,30,SNIPE,NA,NO,0,30,MAKER,1,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,98.7044925574,SELL
15959000000,MAKER,1,NO,0,30,SNIPE,NA,NO,0,30,MAKER,1,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,98.7044925574,SELL
16933000000,MAKER,1,NO,0.500092557399995,30.500092557399995,SNIPE,NA,NO,0,30,MAKER,1,NO,0,30,OUT,NA,NO,0,30,NA,98.2044,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,98.7044925574,NA
18990000000,MAKER,1,NO,0,30.500092557399995,SNIPE,NA,NO,0,30,MAKER,1,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,1 2 4 3,-0.36258581690000824,98.3419067405,NA
18991000000,MAKER,1,NO,0,30.500092557399995,SNIPE,NA,NO,0,30,MAKER,1,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,98.3419067405,NA
18992000000,MAKER,1,NO,0,30.500092557399995,SNIPE,NA,NO,0,30,MAKER,1,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,98.3419067405,NA
18998000000,MAKER,1,NO,0,30.500092557399995,SNIPE,NA,NO,0,30,MAKER,1,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,98.3419067405,NA
19954000000,MAKER,1,NO,0,30.500092557399995,SNIPE,NA,NO,0,30,MAKER,1,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,98.3419067405,SELL
22982000000,MAKER,1,NO,0.5000067404999982,31.000099297899993,SNIPE,NA,NO,0,30,MAKER,1,NO,0,30,OUT,NA,NO,0,30,NA,97.8419,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,98.3419067405,NA
23980000000,MAKER,1,NO,0,31.000099297899993,SNIPE,NA,NO,0,30,MAKER,1,NO,0,30,OUT,NA,NO,0,30,NA,NA,EMPTY,EMPTY,EMPTY,EMPTY,NA,0,98.3419067405,BUY
